1196,14156
6780,3760,13468
6268,3460,13596
6568,3608,13592
6356,3580,13960
6912,3900,14008
6548,3768,13860
6980,3896,13816
6280,3664,13656
6716,3648,13452
6720,3608,13548
6340,3632,13720
6640,3724,13824
6332,3604,14012
6364,3816,13868
6876,3776,13832
6360,3552,13728
6676,3592,13484
6448,3680,13516
6748,3700,13744
6612,3492,13828
6600,3676,14052
7072,3812,13948
6796,3672,13792
6664,3660,13620
6352,3572,13468
6888,3652,13436
6112,3440,13660
6760,3672,13748
6280,3560,13920
7012,3784,13956
6316,3688,13900
6580,3676,13736
6812,3800,13576
6756,3712,13636
6384,3628,13788
6732,3764,13576
6720,3808,13928
6732,3736,14080
6388,3540,13908
6992,3856,13892
6740,3848,13524
6132,3420,13444
6224,3504,13600
6704,3588,13628
6896,3720,13796
6332,3692,13900
6784,3676,13824
6396,3668,13800
6712,3740,13480
6536,3800,13524
6380,3536,13576
6152,3548,13800
6332,3472,13724
6920,3640,13772
6872,3720,13984
6472,3716,13992
6668,3824,13876
6320,3628,13676
6504,3580,13440
6448,3572,13516
6264,3512,13692
6824,3704,13952
6544,3696,13876
6492,3744,13888
6596,3916,13744
6692,3788,13556
6568,3720,13560
6836,3732,13552
6408,3552,13692
6920,3692,13984
6504,3520,13868
6896,3824,13856
6452,3720,13712
6860,3816,13772
6392,3680,13796
6324,3528,13628
6776,3740,13572
6300,3480,13564
6804,3716,14024
6684,3852,14000
6720,3816,13780
6988,3812,13828
6752,3732,13580
6272,3560,13460
6176,3448,13612
6716,3720,13684
6668,3696,13896
6472,3584,13972
6868,3824,14056
6336,3740,13716
6988,3844,13652
6444,3640,13592
6224,3576,13408
6224,3560,13592
6400,3564,13916
6608,3608,13880
6580,3596,14064
6548,3664,13776
6412,3612,13748
6556,3756,13568
6632,3552,13496
6668,3620,13572
6792,3732,13796
6476,3596,13880
6620,3708,13996
6508,3708,13780
6956,3680,13756
6836,3764,13580
6596,3684,13364
6516,3492,13656
6280,3464,13568
6372,3592,13848
6600,3676,13896
6752,3764,13968
6836,3824,13936
6364,3648,13676
6348,3536,13552
6576,3596,13604
6416,3512,13612
6664,3564,13824
6504,3588,13788
6872,3884,13988
6812,3844,13848
6376,3576,13660
6808,3768,13632
6516,3544,13452
6320,3580,13660
6272,3500,13700
6596,3764,13816
6744,3640,13944
6648,3760,13812
6800,3784,13964
6876,3776,13504
6288,3508,13416
6788,3664,13464
6716,3612,13576
6780,3720,13788
6492,3668,13904
6588,3636,13916
6904,3764,13844
6880,3788,13920
6280,3452,13500
6176,3612,13428
6164,3536,13640
6496,3692,13952
6764,3744,13920
6640,3784,13864
6444,3616,13868
6960,3804,13684
6412,3600,13568
6760,3808,13544
6268,3524,13652
6508,3472,13608
6332,3588,13896
6484,3576,14176
7008,3836,14104
6896,3808,13768
6536,3708,13608
6452,3608,13424
6256,3556,13512
6412,3700,13632
6296,3544,13820
6348,3528,14016
6996,3732,14108
6500,3704,13876
6472,3588,13616
6764,3724,13524
6300,3480,13676
6156,3532,13624
6216,3424,13884
6280,3564,13752
6472,3692,13888
6452,3732,13912
6476,3648,13728
6904,3812,13788
6452,3672,13584
6636,3548,13484
6152,3496,13580
6404,3680,13904
6932,3860,14032
6940,3828,13832
6724,3820,13880
6648,3652,13568
6860,3776,13632
6248,3520,13504
6608,3652,13780
6472,3596,13940
6448,3712,13888
6392,3644,13920
6436,3716,13824
6972,3732,13668
6736,3632,13448
6756,3628,13512
6096,3368,13464
6592,3624,13868
6656,3696,13812
6396,3616,14076
7076,3860,14024
6788,3852,13628
6928,3912,13520
6468,3728,13540
6684,3628,13544
6776,3704,13752
6684,3628,13820
6416,3712,13980
6976,3656,13996
6648,3708,13720
6288,3604,13748
6208,3548,13516
6348,3596,13524
6264,3572,13600
6588,3592,13772
6664,3672,13932
6872,3728,13920
6980,3876,14024
6564,3656,13740
6512,3552,13520
6536,3548,13512
6596,3596,13564
6584,3524,13696
6360,3712,13908
6980,3728,13996
7032,3860,13892
6844,3708,13704
6340,3668,13624
6496,3580,13588
6296,3620,13552
6260,3464,13724
6820,3660,13856
6736,3876,13904
6848,3824,13892
7080,3792,13904
6500,3700,13684
6268,3632,13544
6328,3448,13404
6176,3568,13576
6824,3752,13768
6928,3852,13964
6300,3728,13932
6788,3880,13880
6420,3564,13588
6348,3688,13524
